clip,seizure,early
Patient_1_test_segment_1080.mat,0.032,0.0225
Patient_1_test_segment_1081.mat,0.09125,0.073
Patient_1_test_segment_1082.mat,0.026,0.02125
Patient_1_test_segment_1083.mat,0.02475,0.01675
Patient_1_test_segment_1084.mat,0.05675,0.0405
Patient_1_test_segment_1085.mat,0.0375,0.027
Patient_1_test_segment_1086.mat,0.0945,0.076
Patient_1_test_segment_1087.mat,0.035,0.02425
Patient_1_test_segment_1088.mat,0.0305,0.02075
Patient_1_test_segment_1089.mat,0.03025,0.02325
Patient_1_test_segment_109.mat,0.0485,0.0385
Patient_1_test_segment_1090.mat,0.76375,0.13525
Patient_1_test_segment_1091.mat,0.02925,0.0215
Patient_1_test_segment_1092.mat,0.17875,0.1145
Patient_1_test_segment_1093.mat,0.0355,0.022
Patient_1_test_segment_1094.mat,0.16075,0.1005
Patient_1_test_segment_1095.mat,0.05675,0.04125
Patient_1_test_segment_1096.mat,0.04125,0.026
Patient_1_test_segment_1097.mat,0.03025,0.026
Patient_1_test_segment_1098.mat,0.0625,0.051
Patient_1_test_segment_1099.mat,0.02925,0.02225
Patient_1_test_segment_11.mat,0.0555,0.04125
Patient_1_test_segment_110.mat,0.20825,0.143
Patient_1_test_segment_1100.mat,0.05325,0.03875
Patient_1_test_segment_1101.mat,0.0325,0.0235
Patient_1_test_segment_1102.mat,0.02,0.017
Patient_1_test_segment_1103.mat,0.17625,0.12225
Patient_1_test_segment_1104.mat,0.029,0.01875
Patient_1_test_segment_1105.mat,0.09825,0.0495
Patient_1_test_segment_1106.mat,0.03425,0.025
Patient_1_test_segment_1107.mat,0.0315,0.0225
Patient_1_test_segment_1108.mat,0.04625,0.03575
Patient_1_test_segment_1109.mat,0.02625,0.0205
Patient_1_test_segment_111.mat,0.10025,0.048
Patient_1_test_segment_1110.mat,0.697,0.26375
Patient_1_test_segment_1111.mat,0.02475,0.019
Patient_1_test_segment_1112.mat,0.02225,0.018
Patient_1_test_segment_1113.mat,0.0225,0.01875
Patient_1_test_segment_1114.mat,0.02975,0.02325
Patient_1_test_segment_1115.mat,0.464,0.3475
Patient_1_test_segment_1116.mat,0.0325,0.0245
Patient_1_test_segment_1117.mat,0.02875,0.02025
Patient_1_test_segment_1118.mat,0.02775,0.02175
Patient_1_test_segment_1119.mat,0.05825,0.049
Patient_1_test_segment_112.mat,0.04,0.02675
Patient_1_test_segment_1120.mat,0.096,0.06075
Patient_1_test_segment_1121.mat,0.718,0.27275
Patient_1_test_segment_1122.mat,0.0385,0.03
Patient_1_test_segment_1123.mat,0.07675,0.0395
Patient_1_test_segment_1124.mat,0.0655,0.05225
Patient_1_test_segment_1125.mat,0.0495,0.03625
Patient_1_test_segment_1126.mat,0.0275,0.01975
Patient_1_test_segment_1127.mat,0.0425,0.03125
Patient_1_test_segment_1128.mat,0.0295,0.02375
Patient_1_test_segment_1129.mat,0.7015,0.22925
Patient_1_test_segment_113.mat,0.041,0.03
Patient_1_test_segment_1130.mat,0.04325,0.03425
Patient_1_test_segment_1131.mat,0.12125,0.055
Patient_1_test_segment_1132.mat,0.0295,0.02475
Patient_1_test_segment_1133.mat,0.263,0.15275
Patient_1_test_segment_1134.mat,0.0495,0.04025
Patient_1_test_segment_1135.mat,0.05875,0.03825
Patient_1_test_segment_1136.mat,0.04225,0.03
Patient_1_test_segment_1137.mat,0.2285,0.12575
Patient_1_test_segment_1138.mat,0.027,0.02
Patient_1_test_segment_1139.mat,0.0295,0.0245
Patient_1_test_segment_114.mat,0.03725,0.02725
Patient_1_test_segment_1140.mat,0.05425,0.0405
Patient_1_test_segment_1141.mat,0.0285,0.02
Patient_1_test_segment_1142.mat,0.03725,0.02975
Patient_1_test_segment_1143.mat,0.0395,0.0285
Patient_1_test_segment_1144.mat,0.1255,0.08
Patient_1_test_segment_1145.mat,0.736,0.16325
Patient_1_test_segment_1146.mat,0.03775,0.026
Patient_1_test_segment_1147.mat,0.03375,0.02675
Patient_1_test_segment_1148.mat,0.03775,0.02825
Patient_1_test_segment_1149.mat,0.023,0.0185
Patient_1_test_segment_115.mat,0.0775,0.05325
Patient_1_test_segment_1150.mat,0.786,0.225
Patient_1_test_segment_1151.mat,0.04,0.031
Patient_1_test_segment_1152.mat,0.047,0.03325
Patient_1_test_segment_1153.mat,0.029,0.02175
Patient_1_test_segment_1154.mat,0.08525,0.04675
Patient_1_test_segment_1155.mat,0.03375,0.0245
Patient_1_test_segment_1156.mat,0.73,0.597
Patient_1_test_segment_1157.mat,0.0335,0.0255
Patient_1_test_segment_1158.mat,0.17675,0.08375
Patient_1_test_segment_1159.mat,0.2125,0.133
Patient_1_test_segment_116.mat,0.03925,0.02225
Patient_1_test_segment_1160.mat,0.029,0.0235
Patient_1_test_segment_1161.mat,0.02725,0.025
Patient_1_test_segment_1162.mat,0.1245,0.06425
Patient_1_test_segment_1163.mat,0.0645,0.0485
Patient_1_test_segment_1164.mat,0.056,0.0455
Patient_1_test_segment_1165.mat,0.78825,0.49775
Patient_1_test_segment_1166.mat,0.1095,0.07375
Patient_1_test_segment_1167.mat,0.05125,0.02875
Patient_1_test_segment_1168.mat,0.042,0.03
Patient_1_test_segment_1169.mat,0.03775,0.02825
Patient_1_test_segment_117.mat,0.08825,0.05375
Patient_1_test_segment_1170.mat,0.038,0.0255
Patient_1_test_segment_1171.mat,0.03625,0.02375
Patient_1_test_segment_1172.mat,0.04875,0.0375
Patient_1_test_segment_1173.mat,0.0455,0.031
Patient_1_test_segment_1174.mat,0.03425,0.02625
Patient_1_test_segment_1175.mat,0.04525,0.0285
Patient_1_test_segment_1176.mat,0.02725,0.01875
Patient_1_test_segment_1177.mat,0.06425,0.051
Patient_1_test_segment_1178.mat,0.05725,0.043
Patient_1_test_segment_1179.mat,0.2595,0.1525
Patient_1_test_segment_118.mat,0.03275,0.02125
Patient_1_test_segment_1180.mat,0.02,0.0165
Patient_1_test_segment_1181.mat,0.0595,0.05
Patient_1_test_segment_1182.mat,0.0445,0.034
Patient_1_test_segment_1183.mat,0.03075,0.024
Patient_1_test_segment_1184.mat,0.05175,0.03925
Patient_1_test_segment_1185.mat,0.1135,0.06675
Patient_1_test_segment_1186.mat,0.13575,0.06725
Patient_1_test_segment_1187.mat,0.037,0.0295
Patient_1_test_segment_1188.mat,0.03325,0.023
Patient_1_test_segment_1189.mat,0.06325,0.053
Patient_1_test_segment_119.mat,0.25,0.213
Patient_1_test_segment_1190.mat,0.0515,0.04275
Patient_1_test_segment_1191.mat,0.0565,0.03675
Patient_1_test_segment_1192.mat,0.064,0.049
Patient_1_test_segment_1193.mat,0.3275,0.2405
Patient_1_test_segment_1194.mat,0.03875,0.02875
Patient_1_test_segment_1195.mat,0.6925,0.551
Patient_1_test_segment_1196.mat,0.1025,0.07475
Patient_1_test_segment_1197.mat,0.26925,0.16325
Patient_1_test_segment_1198.mat,0.04575,0.03825
Patient_1_test_segment_1199.mat,0.0735,0.05675
Patient_1_test_segment_12.mat,0.03975,0.02925
Patient_1_test_segment_120.mat,0.3125,0.15475
Patient_1_test_segment_1200.mat,0.039,0.02925
Patient_1_test_segment_1201.mat,0.02275,0.017
Patient_1_test_segment_1202.mat,0.047,0.0345
Patient_1_test_segment_1203.mat,0.12975,0.0945
Patient_1_test_segment_1204.mat,0.05025,0.04
Patient_1_test_segment_1205.mat,0.02775,0.02225
Patient_1_test_segment_1206.mat,0.0915,0.062
Patient_1_test_segment_1207.mat,0.04675,0.03675
Patient_1_test_segment_1208.mat,0.80225,0.38975
Patient_1_test_segment_1209.mat,0.73425,0.25775
Patient_1_test_segment_121.mat,0.03825,0.02725
Patient_1_test_segment_1210.mat,0.03175,0.023
Patient_1_test_segment_1211.mat,0.79675,0.34125
Patient_1_test_segment_1212.mat,0.039,0.02675
Patient_1_test_segment_1213.mat,0.7635,0.3785
Patient_1_test_segment_1214.mat,0.03525,0.028
Patient_1_test_segment_1215.mat,0.02325,0.01625
Patient_1_test_segment_1216.mat,0.05725,0.0405
Patient_1_test_segment_1217.mat,0.71575,0.36175
Patient_1_test_segment_1218.mat,0.0545,0.03875
Patient_1_test_segment_1219.mat,0.039,0.03075
Patient_1_test_segment_122.mat,0.0315,0.023
Patient_1_test_segment_1220.mat,0.044,0.03275
Patient_1_test_segment_1221.mat,0.13125,0.0945
Patient_1_test_segment_1222.mat,0.03425,0.02
Patient_1_test_segment_1223.mat,0.0535,0.04125
Patient_1_test_segment_1224.mat,0.0925,0.078
Patient_1_test_segment_1225.mat,0.05925,0.04875
Patient_1_test_segment_1226.mat,0.0325,0.02125
Patient_1_test_segment_1227.mat,0.037,0.02325
Patient_1_test_segment_1228.mat,0.0395,0.031
Patient_1_test_segment_1229.mat,0.753,0.3135
Patient_1_test_segment_123.mat,0.04,0.02925
Patient_1_test_segment_1230.mat,0.04575,0.0355
Patient_1_test_segment_1231.mat,0.033,0.024
Patient_1_test_segment_1232.mat,0.02875,0.02425
Patient_1_test_segment_1233.mat,0.07125,0.037
Patient_1_test_segment_1234.mat,0.06625,0.05375
Patient_1_test_segment_1235.mat,0.73125,0.59775
Patient_1_test_segment_1236.mat,0.03475,0.02475
Patient_1_test_segment_1237.mat,0.0705,0.05475
Patient_1_test_segment_1238.mat,0.1085,0.05325
Patient_1_test_segment_1239.mat,0.029,0.022
Patient_1_test_segment_124.mat,0.04025,0.02925
Patient_1_test_segment_1240.mat,0.03625,0.0275
Patient_1_test_segment_1241.mat,0.0455,0.041
Patient_1_test_segment_1242.mat,0.65475,0.54575
Patient_1_test_segment_1243.mat,0.041,0.03
Patient_1_test_segment_1244.mat,0.0635,0.05275
Patient_1_test_segment_1245.mat,0.10525,0.06425
Patient_1_test_segment_1246.mat,0.0295,0.02575
Patient_1_test_segment_1247.mat,0.1795,0.116
Patient_1_test_segment_1248.mat,0.06925,0.0575
Patient_1_test_segment_1249.mat,0.03575,0.0275
Patient_1_test_segment_125.mat,0.0515,0.03125
Patient_1_test_segment_1250.mat,0.2285,0.12575
Patient_1_test_segment_1251.mat,0.095,0.0675
Patient_1_test_segment_1252.mat,0.03375,0.02
Patient_1_test_segment_1253.mat,0.1235,0.09275
Patient_1_test_segment_1254.mat,0.0365,0.023
Patient_1_test_segment_1255.mat,0.04725,0.03625
Patient_1_test_segment_1256.mat,0.23175,0.11975
Patient_1_test_segment_1257.mat,0.037,0.02725
Patient_1_test_segment_1258.mat,0.02325,0.01775
Patient_1_test_segment_1259.mat,0.04175,0.02625
Patient_1_test_segment_126.mat,0.04,0.03125
Patient_1_test_segment_1260.mat,0.08025,0.056
Patient_1_test_segment_1261.mat,0.766,0.14175
Patient_1_test_segment_1262.mat,0.029,0.021
Patient_1_test_segment_1263.mat,0.03625,0.02475
Patient_1_test_segment_1264.mat,0.03225,0.0255
Patient_1_test_segment_1265.mat,0.031,0.0225
Patient_1_test_segment_1266.mat,0.03225,0.02475
Patient_1_test_segment_1267.mat,0.031,0.02675
Patient_1_test_segment_1268.mat,0.05425,0.03825
Patient_1_test_segment_1269.mat,0.399,0.22175
Patient_1_test_segment_127.mat,0.05075,0.03925
Patient_1_test_segment_1270.mat,0.0565,0.03525
Patient_1_test_segment_1271.mat,0.7935,0.6915
Patient_1_test_segment_1272.mat,0.022,0.0175
Patient_1_test_segment_1273.mat,0.63575,0.51625
Patient_1_test_segment_1274.mat,0.14375,0.1055
Patient_1_test_segment_1275.mat,0.0225,0.01775
Patient_1_test_segment_1276.mat,0.03625,0.0285
Patient_1_test_segment_1277.mat,0.09875,0.0865
Patient_1_test_segment_1278.mat,0.255,0.226
Patient_1_test_segment_1279.mat,0.77575,0.2105
Patient_1_test_segment_128.mat,0.019,0.015
Patient_1_test_segment_1280.mat,0.036,0.025
Patient_1_test_segment_1281.mat,0.03125,0.0225
Patient_1_test_segment_1282.mat,0.02975,0.01975
Patient_1_test_segment_1283.mat,0.18825,0.07325
Patient_1_test_segment_1284.mat,0.6125,0.498
Patient_1_test_segment_1285.mat,0.03175,0.0245
Patient_1_test_segment_1286.mat,0.02525,0.0195
Patient_1_test_segment_1287.mat,0.1355,0.07725
Patient_1_test_segment_1288.mat,0.13075,0.0565
Patient_1_test_segment_1289.mat,0.0365,0.0285
Patient_1_test_segment_129.mat,0.03275,0.02425
Patient_1_test_segment_1290.mat,0.12975,0.1125
Patient_1_test_segment_1291.mat,0.031,0.0225
Patient_1_test_segment_1292.mat,0.21625,0.175
Patient_1_test_segment_1293.mat,0.0355,0.0275
Patient_1_test_segment_1294.mat,0.025,0.01925
Patient_1_test_segment_1295.mat,0.024,0.02075
Patient_1_test_segment_1296.mat,0.02675,0.0225
Patient_1_test_segment_1297.mat,0.21975,0.08575
Patient_1_test_segment_1298.mat,0.7175,0.2105
Patient_1_test_segment_1299.mat,0.03125,0.0235
Patient_1_test_segment_13.mat,0.32675,0.20125
Patient_1_test_segment_130.mat,0.029,0.02025
Patient_1_test_segment_1300.mat,0.1445,0.1005
Patient_1_test_segment_1301.mat,0.0415,0.03125
Patient_1_test_segment_1302.mat,0.0245,0.02175
Patient_1_test_segment_1303.mat,0.053,0.03775
Patient_1_test_segment_1304.mat,0.04225,0.03225
Patient_1_test_segment_1305.mat,0.0365,0.02825
Patient_1_test_segment_1306.mat,0.03225,0.02075
Patient_1_test_segment_1307.mat,0.02575,0.01675
Patient_1_test_segment_1308.mat,0.0795,0.05375
Patient_1_test_segment_1309.mat,0.1485,0.08325
Patient_1_test_segment_131.mat,0.72675,0.17225
Patient_1_test_segment_1310.mat,0.073,0.0415
Patient_1_test_segment_1311.mat,0.0545,0.04275
Patient_1_test_segment_1312.mat,0.0385,0.0275
Patient_1_test_segment_1313.mat,0.0255,0.019
Patient_1_test_segment_1314.mat,0.12925,0.10675
Patient_1_test_segment_1315.mat,0.7335,0.14675
Patient_1_test_segment_1316.mat,0.03775,0.028
Patient_1_test_segment_1317.mat,0.02625,0.0215
Patient_1_test_segment_1318.mat,0.04125,0.03375
Patient_1_test_segment_1319.mat,0.068,0.05425
Patient_1_test_segment_132.mat,0.0285,0.0205
Patient_1_test_segment_1320.mat,0.0485,0.038
Patient_1_test_segment_1321.mat,0.0865,0.0395
Patient_1_test_segment_1322.mat,0.07525,0.05875
Patient_1_test_segment_1323.mat,0.0415,0.03425
Patient_1_test_segment_1324.mat,0.0275,0.022
Patient_1_test_segment_1325.mat,0.12425,0.1
Patient_1_test_segment_1326.mat,0.03825,0.02675
Patient_1_test_segment_1327.mat,0.0295,0.02275
Patient_1_test_segment_1328.mat,0.21775,0.154
Patient_1_test_segment_1329.mat,0.44825,0.17075
Patient_1_test_segment_133.mat,0.03,0.02125
Patient_1_test_segment_1330.mat,0.488,0.3865
Patient_1_test_segment_1331.mat,0.08325,0.06575
Patient_1_test_segment_1332.mat,0.17275,0.0635
Patient_1_test_segment_1333.mat,0.043,0.033
Patient_1_test_segment_1334.mat,0.0445,0.034
Patient_1_test_segment_1335.mat,0.47175,0.15575
Patient_1_test_segment_1336.mat,0.07675,0.0505
Patient_1_test_segment_1337.mat,0.03275,0.026
Patient_1_test_segment_1338.mat,0.06725,0.055
Patient_1_test_segment_1339.mat,0.7535,0.5415
Patient_1_test_segment_134.mat,0.06375,0.03475
Patient_1_test_segment_1340.mat,0.028,0.021
Patient_1_test_segment_1341.mat,0.02625,0.01975
Patient_1_test_segment_1342.mat,0.065,0.0515
Patient_1_test_segment_1343.mat,0.04825,0.04
Patient_1_test_segment_1344.mat,0.07275,0.04725
Patient_1_test_segment_1345.mat,0.09875,0.04825
Patient_1_test_segment_1346.mat,0.0345,0.02575
Patient_1_test_segment_1347.mat,0.08325,0.06125
Patient_1_test_segment_1348.mat,0.034,0.026
Patient_1_test_segment_1349.mat,0.04625,0.03575
Patient_1_test_segment_135.mat,0.03425,0.02475
Patient_1_test_segment_1350.mat,0.08075,0.06925
Patient_1_test_segment_1351.mat,0.701,0.586
Patient_1_test_segment_1352.mat,0.578,0.475
Patient_1_test_segment_1353.mat,0.06225,0.0485
Patient_1_test_segment_1354.mat,0.037,0.02825
Patient_1_test_segment_1355.mat,0.04925,0.03525
Patient_1_test_segment_1356.mat,0.03225,0.024
Patient_1_test_segment_1357.mat,0.022,0.01625
Patient_1_test_segment_1358.mat,0.0995,0.07625
Patient_1_test_segment_1359.mat,0.30475,0.15175
Patient_1_test_segment_136.mat,0.805,0.39475
Patient_1_test_segment_1360.mat,0.7585,0.26625
Patient_1_test_segment_1361.mat,0.0235,0.0175
Patient_1_test_segment_1362.mat,0.026,0.0205
Patient_1_test_segment_1363.mat,0.0255,0.0205
Patient_1_test_segment_1364.mat,0.0225,0.01925
Patient_1_test_segment_1365.mat,0.02925,0.0245
Patient_1_test_segment_1366.mat,0.2475,0.1025
Patient_1_test_segment_1367.mat,0.0295,0.02075
Patient_1_test_segment_1368.mat,0.02575,0.02275
Patient_1_test_segment_1369.mat,0.117,0.05675
Patient_1_test_segment_137.mat,0.026,0.0215
Patient_1_test_segment_1370.mat,0.11825,0.09675
Patient_1_test_segment_1371.mat,0.215,0.1065
Patient_1_test_segment_1372.mat,0.137,0.1135
Patient_1_test_segment_1373.mat,0.0245,0.01875
Patient_1_test_segment_1374.mat,0.0325,0.02175
Patient_1_test_segment_1375.mat,0.0345,0.02525
Patient_1_test_segment_1376.mat,0.7925,0.26275
Patient_1_test_segment_1377.mat,0.728,0.6155
Patient_1_test_segment_1378.mat,0.80425,0.37025
Patient_1_test_segment_1379.mat,0.06325,0.04725
Patient_1_test_segment_138.mat,0.069,0.03925
Patient_1_test_segment_1380.mat,0.0295,0.02225
Patient_1_test_segment_1381.mat,0.045,0.03225
Patient_1_test_segment_1382.mat,0.21375,0.17975
Patient_1_test_segment_1383.mat,0.05675,0.04425
Patient_1_test_segment_1384.mat,0.02375,0.0195
Patient_1_test_segment_1385.mat,0.05875,0.0475
Patient_1_test_segment_1386.mat,0.03275,0.02475
Patient_1_test_segment_1387.mat,0.02875,0.02175
Patient_1_test_segment_1388.mat,0.0715,0.051
Patient_1_test_segment_1389.mat,0.094,0.07025
Patient_1_test_segment_139.mat,0.04025,0.03125
Patient_1_test_segment_1390.mat,0.04975,0.02825
Patient_1_test_segment_1391.mat,0.06225,0.0495
Patient_1_test_segment_1392.mat,0.19025,0.094
Patient_1_test_segment_1393.mat,0.0555,0.0455
Patient_1_test_segment_1394.mat,0.01925,0.0155
Patient_1_test_segment_1395.mat,0.023,0.0185
Patient_1_test_segment_1396.mat,0.187,0.09825
Patient_1_test_segment_1397.mat,0.034,0.02175
Patient_1_test_segment_1398.mat,0.022,0.01575
Patient_1_test_segment_1399.mat,0.6425,0.2385
Patient_1_test_segment_14.mat,0.11175,0.07925
Patient_1_test_segment_140.mat,0.07725,0.042
Patient_1_test_segment_1400.mat,0.65025,0.54
Patient_1_test_segment_1401.mat,0.0235,0.0195
Patient_1_test_segment_1402.mat,0.02925,0.01925
Patient_1_test_segment_1403.mat,0.049,0.0405
Patient_1_test_segment_1404.mat,0.02825,0.02575
Patient_1_test_segment_1405.mat,0.02675,0.01925
Patient_1_test_segment_1406.mat,0.0235,0.02
Patient_1_test_segment_1407.mat,0.1045,0.0765
Patient_1_test_segment_1408.mat,0.0275,0.019
Patient_1_test_segment_1409.mat,0.02075,0.018
Patient_1_test_segment_141.mat,0.05225,0.038
Patient_1_test_segment_1410.mat,0.05275,0.0395
Patient_1_test_segment_1411.mat,0.04125,0.031
Patient_1_test_segment_1412.mat,0.04175,0.03525
Patient_1_test_segment_1413.mat,0.0285,0.021
Patient_1_test_segment_1414.mat,0.729,0.61125
Patient_1_test_segment_1415.mat,0.0255,0.02175
Patient_1_test_segment_1416.mat,0.04825,0.03575
Patient_1_test_segment_1417.mat,0.03675,0.028
Patient_1_test_segment_1418.mat,0.75175,0.143
Patient_1_test_segment_1419.mat,0.0525,0.04
Patient_1_test_segment_142.mat,0.7495,0.15375
Patient_1_test_segment_1420.mat,0.0255,0.02125
Patient_1_test_segment_1421.mat,0.031,0.025
Patient_1_test_segment_1422.mat,0.02225,0.018
Patient_1_test_segment_1423.mat,0.05075,0.02725
Patient_1_test_segment_1424.mat,0.04525,0.03525
Patient_1_test_segment_1425.mat,0.74125,0.13425
Patient_1_test_segment_1426.mat,0.02675,0.01975
Patient_1_test_segment_1427.mat,0.1085,0.048
Patient_1_test_segment_1428.mat,0.0365,0.02525
Patient_1_test_segment_1429.mat,0.0225,0.0165
Patient_1_test_segment_143.mat,0.0295,0.02175
Patient_1_test_segment_1430.mat,0.078,0.05075
Patient_1_test_segment_1431.mat,0.08325,0.05725
Patient_1_test_segment_1432.mat,0.03175,0.0205
Patient_1_test_segment_1433.mat,0.08525,0.067
Patient_1_test_segment_1434.mat,0.02975,0.023
Patient_1_test_segment_1435.mat,0.033,0.02275
Patient_1_test_segment_1436.mat,0.0315,0.02425
Patient_1_test_segment_1437.mat,0.265,0.18375
Patient_1_test_segment_1438.mat,0.044,0.03425
Patient_1_test_segment_1439.mat,0.04225,0.03325
Patient_1_test_segment_144.mat,0.80525,0.432
Patient_1_test_segment_1440.mat,0.07125,0.04125
Patient_1_test_segment_1441.mat,0.044,0.032
Patient_1_test_segment_1442.mat,0.69575,0.5095
Patient_1_test_segment_1443.mat,0.03775,0.02325
Patient_1_test_segment_1444.mat,0.03225,0.02575
Patient_1_test_segment_1445.mat,0.03475,0.02175
Patient_1_test_segment_1446.mat,0.04475,0.0345
Patient_1_test_segment_1447.mat,0.049,0.03175
Patient_1_test_segment_1448.mat,0.75725,0.12475
Patient_1_test_segment_1449.mat,0.0345,0.026
Patient_1_test_segment_145.mat,0.04775,0.0385
Patient_1_test_segment_1450.mat,0.765,0.66425
Patient_1_test_segment_1451.mat,0.22775,0.195
Patient_1_test_segment_1452.mat,0.048,0.038
Patient_1_test_segment_1453.mat,0.047,0.036
Patient_1_test_segment_1454.mat,0.042,0.03025
Patient_1_test_segment_1455.mat,0.04,0.0275
Patient_1_test_segment_1456.mat,0.02975,0.023
Patient_1_test_segment_1457.mat,0.13175,0.0965
Patient_1_test_segment_1458.mat,0.0225,0.0185
Patient_1_test_segment_1459.mat,0.123,0.09
Patient_1_test_segment_146.mat,0.043,0.032
Patient_1_test_segment_1460.mat,0.0605,0.036
Patient_1_test_segment_1461.mat,0.0365,0.02675
Patient_1_test_segment_1462.mat,0.69625,0.591
Patient_1_test_segment_1463.mat,0.03025,0.025
Patient_1_test_segment_1464.mat,0.16675,0.10225
Patient_1_test_segment_1465.mat,0.041,0.03175
Patient_1_test_segment_1466.mat,0.08775,0.04775
Patient_1_test_segment_1467.mat,0.17775,0.11625
Patient_1_test_segment_1468.mat,0.0395,0.0305
Patient_1_test_segment_1469.mat,0.04025,0.03
Patient_1_test_segment_147.mat,0.03075,0.027
Patient_1_test_segment_1470.mat,0.12775,0.088
Patient_1_test_segment_1471.mat,0.1425,0.0825
Patient_1_test_segment_1472.mat,0.032,0.02375
Patient_1_test_segment_1473.mat,0.11125,0.06725
Patient_1_test_segment_1474.mat,0.083,0.071
